"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"1","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2000,NA,"2000","World Bank","","N","PERCENT","","ALLAREA","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"2","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2000,NA,"2000","World Bank","","N","PERCENT","","RURAL","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"3","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2000,NA,"2000","World Bank","","N","PERCENT","","URBAN","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"4","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2001,NA,"2001","World Bank","","N","PERCENT","","RURAL","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"5","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2001,NA,"2001","World Bank","","N","PERCENT","","ALLAREA","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"6","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2001,NA,"2001","World Bank","","N","PERCENT","","URBAN","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"7","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2002,NA,"2002","World Bank","","N","PERCENT","","URBAN","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"8","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2002,NA,"2002","World Bank","","N","PERCENT","","ALLAREA","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"9","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2002,NA,"2002","World Bank","","N","PERCENT","","RURAL","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
"10","7.1.1","EG_ELC_ACCS",4,"Afghanistan",2003,NA,"2003","World Bank","","N","PERCENT","","RURAL","N","G","","","PERCENT",2,"AFG","AF","Afghanistan"
