"","Indicator","SeriesCode","GeoAreaCode","GeoAreaName","TimePeriod","Value","Time_Detail","Source","FootNote","Nature","Units","Age","Location","Nature.1","Reporting.Type","Sex","Type.of.product","Units.1","NUM_id","ISO3CD","ISO2CD","ref.name"
"1","16.1.1","VC_IHR_PSRC",4,"Afghanistan",2010,"3.41282","2010","National Statistical Organization","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","BOTHSEX","","PER_100000_POP",2,"AFG","AF","Afghanistan"
"2","16.1.1","VC_IHR_PSRC",4,"Afghanistan",2011,"4.14358","2011","National Statistical Organization","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","BOTHSEX","","PER_100000_POP",2,"AFG","AF","Afghanistan"
"3","16.1.1","VC_IHR_PSRC",4,"Afghanistan",2015,"9.98029","2015","National Statistical Organization","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","BOTHSEX","","PER_100000_POP",2,"AFG","AF","Afghanistan"
"4","16.1.1","VC_IHR_PSRC",4,"Afghanistan",2016,"6.61557","2016","National Statistical Organization","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","BOTHSEX","","PER_100000_POP",2,"AFG","AF","Afghanistan"
"5","16.1.1","VC_IHR_PSRC",4,"Afghanistan",2017,"7.07853","2017","National Statistical Organization","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","BOTHSEX","","PER_100000_POP",2,"AFG","AF","Afghanistan"
"6","16.1.1","VC_IHR_PSRC",8,"Albania",2010,"4.31896","2010","National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","BOTHSEX","","PER_100000_POP",6,"ALB","AL","Albania"
"7","16.1.1","VC_IHR_PSRC",8,"Albania",2010,"7.32007","2010","National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","MALE","","PER_100000_POP",6,"ALB","AL","Albania"
"8","16.1.1","VC_IHR_PSRC",8,"Albania",2010,"1.29682","2010","National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","FEMALE","","PER_100000_POP",6,"ALB","AL","Albania"
"9","16.1.1","VC_IHR_PSRC",8,"Albania",2011,"8.4344","2011","National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","MALE","","PER_100000_POP",6,"ALB","AL","Albania"
"10","16.1.1","VC_IHR_PSRC",8,"Albania",2011,"1.57912","2011","National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)","Data in reference to one country but derived from different types of sources should not be compared between them.
","C","PER_100000_POP","","","C","G","FEMALE","","PER_100000_POP",6,"ALB","AL","Albania"
